age,income,employment_years,num_credit_accounts,total_debt,debt_to_income_ratio,payment_history_score,num_late_payments,credit_utilization,num_hard_inquiries,loan_amount,loan_term_months,savings_balance,education_level,employment_status,creditworthy,education_encoded,employment_encoded,income_per_debt,savings_to_income_ratio,payment_reliability,credit_age_score
56,49882.37,30,10,6095.08,0.1222,595,14,0.4643,5,12718.49,60,7806.88,Master,Employed,1,2,0,8.1827,0.1565,0.3,300
53,90843.12,3,14,25023.42,0.2755,697,16,0.02,3,17824.5,60,8512.86,High School,Self-Employed,0,1,1,3.6302,0.0937,0.2,42
50,56622.0,16,9,6560.06,0.1159,402,4,0.141,1,7756.15,60,6865.65,Bachelor,Self-Employed,1,0,1,8.63,0.1213,0.8,144
57,50605.19,25,1,0.0,0.0,807,19,0.6788,6,9149.37,12,0.0,PhD,Unemployed,1,3,2,50605.19,0.0,0.05,25
43,48663.56,3,5,38417.0,0.7894,508,3,0.7475,3,26738.42,24,3390.06,Bachelor,Employed,0,0,0,1.2667,0.0697,0.85,15
30,50116.0,29,3,27321.43,0.5452,727,10,0.1153,8,4484.52,48,9468.65,Bachelor,Self-Employed,1,0,1,1.8342,0.1889,0.5,87
25,57216.42,29,6,46512.54,0.8129,692,17,0.2277,8,5222.46,36,6505.27,Bachelor,Self-Employed,0,0,1,1.2301,0.1137,0.15,174
56,105248.15,21,10,31759.51,0.3018,408,9,0.0989,6,14484.19,48,7065.15,High School,Employed,0,1,0,3.3138,0.0671,0.55,210
54,48222.81,10,2,977.85,0.0203,647,16,0.4334,4,7281.1,36,6059.88,Bachelor,Employed,1,0,0,49.2648,0.1257,0.2,20
51,48872.93,1,9,21445.54,0.4388,349,14,0.1261,2,6149.71,12,2818.41,Bachelor,Employed,0,0,0,2.2788,0.0577,0.3,9
30,56311.88,11,6,4765.58,0.0846,404,5,0.4373,2,16050.76,48,5041.4,High School,Employed,1,1,0,11.8139,0.0895,0.75,66
39,76805.49,29,7,0.0,0.0,719,15,0.7321,8,1000.0,12,6159.01,Bachelor,Employed,1,0,0,76805.49,0.0802,0.25,203
52,26580.31,17,5,13292.01,0.5001,672,14,0.6834,8,4920.38,12,8030.86,Master,Employed,0,2,0,1.9996,0.3021,0.3,85
21,64101.85,25,9,34722.99,0.5417,326,7,0.2805,3,35540.96,48,10360.27,High School,Employed,0,1,0,1.846,0.1616,0.65,225
25,38651.5,6,1,24123.69,0.6241,572,8,0.6738,0,19594.75,48,6916.7,Bachelor,Employed,0,0,0,1.6022,0.179,0.6,6
65,66065.45,0,5,0.0,0.0,639,10,0.9277,9,7534.37,36,1822.07,Bachelor,Employed,0,0,0,66065.45,0.0276,0.5,0
24,45124.8,25,11,12764.88,0.2829,600,1,0.3475,4,19182.15,60,0.0,Master,Self-Employed,1,2,1,3.5348,0.0,0.95,275
36,15000.0,22,10,17857.0,1.1905,779,12,0.3291,7,20673.3,12,23584.62,Master,Self-Employed,1,2,1,0.84,1.5723,0.4,220
44,62391.55,25,11,0.0,0.0,843,3,0.5714,9,24944.14,24,1221.11,Master,Employed,1,2,0,62391.55,0.0196,0.85,275
36,62222.9,5,6,30697.59,0.4933,564,8,0.2455,3,13728.44,36,4888.25,Bachelor,Employed,1,0,0,2.0269,0.0786,0.6,30
22,43418.39,5,7,16568.97,0.3816,841,4,0.6516,9,24764.98,36,11102.0,High School,Employed,1,1,0,2.6203,0.2557,0.8,35
69,42233.12,7,12,0.0,0.0,465,18,0.8323,9,1000.0,60,10165.16,High School,Employed,0,1,0,42233.12,0.2407,0.1,84
48,28772.55,23,4,0.0,0.0,615,2,0.4593,3,4436.92,60,11125.19,Bachelor,Employed,1,0,0,28772.55,0.3867,0.9,92
52,70462.0,21,12,36509.96,0.5182,300,2,0.6795,8,16638.71,12,5343.7,Bachelor,Self-Employed,0,0,1,1.9299,0.0758,0.9,252
47,72644.32,18,13,14287.8,0.1967,560,5,0.6519,8,18296.34,36,9431.35,PhD,Employed,1,3,0,5.084,0.1298,0.75,234
40,37418.98,17,1,37855.28,1.0117,362,9,0.0387,6,5882.18,36,8368.06,Bachelor,Self-Employed,0,0,1,0.9884,0.2236,0.55,17
44,44201.31,30,11,43582.33,0.986,782,4,0.1834,9,17594.2,24,6127.21,Bachelor,Self-Employed,0,0,1,1.0142,0.1386,0.8,330
32,53734.22,29,8,35336.72,0.6576,620,2,0.8935,7,8761.6,12,9472.46,Bachelor,Employed,0,0,0,1.5206,0.1763,0.9,232
55,100417.31,32,10,11998.52,0.1195,500,6,0.9389,3,12230.41,12,14332.19,High School,Employed,1,1,0,8.3684,0.1427,0.7,320
53,65902.43,9,4,0.0,0.0,521,17,0.7804,7,25247.74,60,7866.8,Bachelor,Employed,0,0,0,65902.43,0.1194,0.15,36
53,36131.69,11,3,24694.94,0.6835,451,7,0.9212,5,24089.37,12,7906.72,Bachelor,Employed,0,0,0,1.4631,0.2188,0.65,33
63,61075.61,29,12,51373.65,0.8411,761,0,0.3061,2,5029.4,24,14408.97,PhD,Employed,1,3,0,1.1888,0.2359,1.0,348
57,27466.17,26,7,19469.15,0.7088,516,3,0.2477,6,4427.49,12,13768.16,Bachelor,Unemployed,0,0,2,1.4107,0.5013,0.85,182
32,69359.81,8,12,0.0,0.0,495,6,0.3843,2,10888.27,48,17503.62,PhD,Self-Employed,1,3,1,69359.81,0.2524,0.7,96
23,88510.95,20,2,9876.82,0.1116,501,13,0.0553,6,14732.54,48,0.0,Bachelor,Unemployed,1,0,2,8.9606,0.0,0.35,40
21,88595.83,11,8,17244.0,0.1946,533,12,0.8099,4,8421.02,24,13430.72,High School,Employed,1,1,0,5.1375,0.1516,0.4,88
53,69697.87,28,14,3530.17,0.0506,440,9,0.9842,3,25406.42,60,11609.48,High School,Employed,0,1,0,19.7379,0.1666,0.55,392
60,43331.75,32,6,0.0,0.0,797,17,0.824,2,18473.9,36,2686.09,High School,Employed,1,1,0,43331.75,0.062,0.15,192
30,28981.96,14,7,18532.24,0.6394,356,0,0.555,7,19060.85,12,9509.53,Bachelor,Employed,0,0,0,1.5638,0.3281,1.0,98
63,26995.9,1,14,8226.86,0.3047,803,3,0.2953,3,2334.61,60,14306.73,High School,Employed,1,1,0,3.281,0.53,0.85,14
64,15000.0,17,5,46590.37,3.106,441,15,0.1977,7,26672.91,60,3025.05,Bachelor,Employed,0,0,0,0.3219,0.2017,0.25,85
49,68877.12,2,9,21515.5,0.3124,838,15,0.3641,9,1000.0,12,10655.37,PhD,Employed,1,3,0,3.2011,0.1547,0.25,18
33,52943.29,6,5,27043.68,0.5108,405,17,0.667,2,23340.55,36,13228.12,Bachelor,Unemployed,0,0,2,1.9576,0.2499,0.15,30
32,73184.32,17,11,18213.71,0.2489,464,7,0.4471,9,24343.12,12,1573.88,Master,Unemployed,0,2,2,4.0179,0.0215,0.65,187
51,83560.63,32,5,21406.0,0.2562,514,9,0.9341,8,10675.99,36,7146.29,High School,Employed,0,1,0,3.9034,0.0855,0.55,160
66,56998.11,30,3,0.0,0.0,370,15,0.8542,5,27729.1,24,9805.81,Bachelor,Self-Employed,1,0,1,56998.11,0.172,0.25,90
22,57919.23,10,11,4397.51,0.0759,389,10,0.1024,4,14369.02,36,3223.21,High School,Employed,1,1,0,13.1679,0.0557,0.5,110
55,45713.59,3,1,36329.22,0.7947,527,5,0.1315,4,15624.32,60,2725.08,Master,Employed,0,2,0,1.2583,0.0596,0.75,3
43,48078.31,17,2,23141.93,0.4813,378,0,0.6762,2,18395.29,24,7189.73,High School,Self-Employed,0,1,1,2.0775,0.1495,1.0,34
37,69569.4,3,8,14022.4,0.2016,648,11,0.2308,1,46865.75,48,12809.84,Bachelor,Employed,1,0,0,4.961,0.1841,0.45,24
46,51512.5,33,1,27292.57,0.5298,545,5,0.791,5,28444.34,24,11862.4,Bachelor,Self-Employed,0,0,1,1.8873,0.2303,0.75,33
28,48619.85,28,7,27587.93,0.5674,571,12,0.5914,0,22011.31,36,2831.52,Bachelor,Employed,1,0,0,1.7623,0.0582,0.4,196
49,54633.66,23,14,49863.42,0.9127,702,16,0.2298,6,5871.96,24,11913.01,Master,Self-Employed,0,2,1,1.0956,0.2181,0.2,322
46,72726.6,21,14,22446.0,0.3086,415,0,0.4787,4,16435.9,24,2984.36,High School,Unemployed,1,1,2,3.2399,0.041,1.0,294
30,41146.77,1,5,4062.39,0.0987,734,7,0.4061,3,6868.76,48,0.0,Bachelor,Employed,1,0,0,10.1262,0.0,0.65,5
46,53669.43,5,3,18264.55,0.3403,829,7,0.8732,8,23221.11,36,5797.14,Master,Employed,0,2,0,2.9383,0.108,0.65,15
54,59905.56,24,12,29113.48,0.486,741,10,0.0322,9,16404.67,60,14737.82,Bachelor,Employed,1,0,0,2.0576,0.246,0.5,288
61,78204.44,20,12,34934.89,0.4467,471,13,0.8958,0,3754.78,24,11935.76,Bachelor,Employed,0,0,0,2.2385,0.1526,0.35,240
27,50214.06,15,11,0.0,0.0,315,9,0.6521,3,15811.25,12,7990.57,High School,Employed,0,1,0,50214.06,0.1591,0.55,165
24,40643.53,30,7,23805.6,0.5857,355,14,0.7375,2,6505.83,60,5499.77,Master,Self-Employed,0,2,1,1.7072,0.1353,0.3,210
65,45312.78,13,9,6541.18,0.1444,402,6,0.0026,5,16512.16,24,5661.43,PhD,Employed,1,3,0,6.9263,0.1249,0.7,117
31,76061.15,27,2,11500.52,0.1512,583,6,0.6282,4,6409.23,60,8652.71,Bachelor,Unemployed,1,0,2,6.6131,0.1138,0.7,54
49,95666.11,31,8,32687.59,0.3417,816,9,0.5885,6,15274.88,12,1589.38,Master,Self-Employed,1,2,1,2.9266,0.0166,0.55,248
56,28724.84,27,9,31193.73,1.0859,577,3,0.5372,0,22504.7,60,5911.36,Bachelor,Employed,0,0,0,0.9208,0.2058,0.85,243
45,33093.97,8,11,9827.71,0.297,568,17,0.7859,4,14469.48,60,6706.58,High School,Employed,1,1,0,3.3671,0.2027,0.15,88
41,51624.06,21,3,17632.37,0.3416,699,9,0.5559,1,11091.12,12,0.0,High School,Employed,1,1,0,2.9276,0.0,0.55,63
56,57219.12,31,2,11958.77,0.209,802,18,0.8571,1,17032.76,12,2969.31,Bachelor,Employed,1,0,0,4.7843,0.0519,0.1,62
30,70739.39,4,7,63375.54,0.8959,385,13,0.2326,1,21971.83,12,10463.04,Bachelor,Employed,0,0,0,1.1162,0.1479,0.35,28
57,37177.34,22,5,24175.37,0.6503,619,12,0.806,8,3928.17,48,8057.07,Master,Employed,0,2,0,1.5378,0.2167,0.4,110
29,33737.82,4,5,7407.78,0.2196,331,14,0.1793,9,17606.56,12,6147.43,Bachelor,Employed,0,0,0,4.5538,0.1822,0.3,20
44,57761.74,31,10,39832.51,0.6896,635,15,0.8131,2,28175.41,60,2531.44,PhD,Employed,0,3,0,1.4501,0.0438,0.25,310
55,49831.99,9,5,40361.92,0.81,350,1,0.9405,3,20736.57,12,17461.1,Bachelor,Self-Employed,0,0,1,1.2346,0.3504,0.95,45
69,73534.42,14,4,46875.06,0.6375,378,3,0.3357,4,15577.54,24,2972.12,Bachelor,Self-Employed,0,0,1,1.5687,0.0404,0.85,56
55,64747.2,6,13,51319.91,0.7926,473,17,0.5299,3,21397.38,12,9509.56,High School,Employed,0,1,0,1.2616,0.1469,0.15,78
68,66107.59,28,5,30615.72,0.4631,800,16,0.6583,3,19524.96,12,5072.79,Bachelor,Employed,1,0,0,2.1592,0.0767,0.2,140
56,52910.37,2,13,14752.22,0.2788,375,9,0.0795,4,22536.01,36,8217.68,Master,Self-Employed,0,2,1,3.5864,0.1553,0.55,26
38,102111.61,18,4,16960.75,0.1661,615,8,0.4941,9,1000.0,60,10745.66,High School,Unemployed,1,1,2,6.0201,0.1052,0.6,72
69,38245.04,9,13,15618.87,0.4084,672,14,0.3606,8,1000.0,60,0.0,PhD,Employed,0,3,0,2.4485,0.0,0.3,117
59,67216.2,27,6,13943.67,0.2074,380,11,0.8725,8,25048.29,24,7960.3,PhD,Employed,0,3,0,4.8202,0.1184,0.45,162
52,29606.2,28,4,38599.05,1.3037,370,8,0.8767,5,1000.0,48,15144.37,Bachelor,Employed,0,0,0,0.767,0.5115,0.6,112
44,33530.65,14,2,20010.81,0.5968,370,13,0.7008,2,19015.39,36,18569.01,High School,Employed,0,1,0,1.6755,0.5538,0.35,28
43,42853.09,34,9,34571.33,0.8067,345,12,0.6557,5,11479.5,24,7219.92,High School,Employed,0,1,0,1.2395,0.1685,0.4,306
52,87586.47,5,2,30147.75,0.3442,346,5,0.7337,9,5038.11,24,8250.09,High School,Employed,0,1,0,2.9051,0.0942,0.75,10
57,60277.89,11,9,3520.18,0.0584,721,18,0.366,3,18496.5,60,21268.0,High School,Employed,1,1,0,17.1187,0.3528,0.1,99
32,43190.44,12,10,0.0,0.0,448,3,0.4045,2,17010.34,36,14809.55,Bachelor,Employed,1,0,0,43190.44,0.3429,0.85,120
69,62488.73,28,6,1450.06,0.0232,429,19,0.5537,5,36103.43,60,4296.29,High School,Employed,1,1,0,43.0642,0.0688,0.05,168
33,55702.96,18,9,13599.4,0.2441,755,16,0.938,5,8751.89,48,4286.1,Bachelor,Employed,0,0,0,4.0957,0.0769,0.2,162
43,45160.53,2,9,22014.92,0.4875,804,18,0.724,1,29401.1,60,13739.3,Bachelor,Self-Employed,0,0,1,2.0513,0.3042,0.1,18
45,27067.42,7,3,10275.5,0.3796,543,2,0.551,8,18524.23,12,1933.78,High School,Employed,0,1,0,2.6339,0.0714,0.9,21
55,83770.85,7,1,30545.98,0.3646,773,13,0.7704,7,8389.78,60,14526.36,Bachelor,Unemployed,1,0,2,2.7424,0.1734,0.35,7
61,59196.36,19,1,12084.72,0.2041,681,16,0.3709,5,22992.46,12,10005.8,PhD,Employed,1,3,0,4.898,0.169,0.2,19
50,98474.77,3,3,23854.36,0.2422,402,12,0.7305,0,20657.39,24,11106.32,Bachelor,Employed,0,0,0,4.128,0.1128,0.4,9
37,73806.43,20,5,21763.73,0.2949,788,8,0.4107,1,15358.43,48,6459.6,Bachelor,Employed,1,0,0,3.3911,0.0875,0.6,100
69,66026.39,2,13,46016.5,0.6969,336,0,0.2797,3,17662.95,12,4221.05,Master,Employed,0,2,0,1.4348,0.0639,1.0,26
40,46295.91,7,3,5371.39,0.116,848,16,0.6097,6,9030.13,48,16771.96,Bachelor,Employed,1,0,0,8.6174,0.3623,0.2,21
68,33093.09,22,12,53126.29,1.6054,819,15,0.6869,8,6742.13,60,6519.58,Master,Employed,0,2,0,0.6229,0.197,0.25,264
45,50645.38,15,9,11084.75,0.2189,632,17,0.4593,9,22594.42,60,5534.39,High School,Self-Employed,0,1,1,4.5685,0.1093,0.15,135
42,32514.15,12,9,0.0,0.0,696,1,0.5655,4,12760.61,24,7519.18,Master,Self-Employed,1,2,1,32514.15,0.2313,0.95,108
33,68003.81,2,3,16746.28,0.2463,595,13,0.6941,9,14199.17,60,9158.13,High School,Employed,0,1,0,4.0606,0.1347,0.35,6
39,87653.05,8,3,68602.09,0.7827,406,16,0.7677,1,17798.22,12,1815.05,PhD,Self-Employed,0,3,1,1.2777,0.0207,0.2,24
69,49781.75,13,12,33428.08,0.6715,829,2,0.8956,0,17652.88,24,4610.77,High School,Employed,0,1,0,1.4892,0.0926,0.9,156
56,73889.82,12,14,29044.46,0.3931,382,1,0.3545,9,1000.0,48,4291.81,Master,Employed,0,2,0,2.5439,0.0581,0.95,168
32,41215.42,6,5,31927.8,0.7747,587,7,0.9515,0,27862.52,24,13071.68,PhD,Employed,0,3,0,1.2909,0.3172,0.65,30
61,48950.66,14,2,8456.1,0.1727,760,1,0.6373,4,16211.82,48,2684.22,High School,Employed,1,1,0,5.7881,0.0548,0.95,28
39,38700.72,6,6,24890.67,0.6432,514,1,0.7877,6,12973.47,36,0.0,PhD,Employed,0,3,0,1.5548,0.0,0.95,36
32,15000.0,33,7,20037.53,1.3358,580,8,0.6998,8,19308.46,12,0.0,High School,Employed,0,1,0,0.7486,0.0,0.6,231
29,54269.33,21,13,47136.0,0.8686,758,19,0.2056,8,17365.42,12,0.0,High School,Employed,0,1,0,1.1513,0.0,0.05,273
27,57569.03,23,9,18369.68,0.3191,643,5,0.0714,7,22670.63,48,16169.23,Bachelor,Employed,1,0,0,3.1337,0.2809,0.75,207
48,76317.22,0,6,14325.85,0.1877,493,11,0.7263,0,20379.84,60,8097.24,PhD,Employed,0,3,0,5.3269,0.1061,0.45,0
34,70908.77,9,3,2528.01,0.0357,457,8,0.5111,4,22178.46,60,11007.49,Bachelor,Employed,1,0,0,28.0382,0.1552,0.6,27
51,71179.06,15,12,22100.22,0.3105,764,6,0.7022,5,28509.94,36,11218.93,Bachelor,Employed,1,0,0,3.2206,0.1576,0.7,180
39,35519.28,7,5,24394.28,0.6868,403,11,0.4768,5,23836.25,48,8337.1,Bachelor,Employed,0,0,0,1.456,0.2347,0.45,35
67,64189.95,24,4,1976.18,0.0308,333,4,0.3122,3,13395.14,36,7551.31,PhD,Self-Employed,1,3,1,32.4654,0.1176,0.8,96
36,86651.88,11,5,26797.45,0.3093,401,15,0.285,0,3770.99,48,14267.16,Master,Employed,1,2,0,3.2335,0.1646,0.25,55
25,62597.36,24,8,23497.69,0.3754,624,4,0.7305,2,31677.98,36,8875.98,High School,Employed,1,1,0,2.6639,0.1418,0.8,192
55,91571.87,16,8,35201.69,0.3844,440,11,0.2768,9,12622.77,48,16394.58,High School,Employed,0,1,0,2.6013,0.179,0.45,128
32,95379.32,25,6,38185.52,0.4004,773,19,0.7147,3,10268.93,12,11724.98,High School,Self-Employed,1,1,1,2.4977,0.1229,0.05,150
45,49630.63,13,1,21414.19,0.4315,330,8,0.384,3,1000.0,36,4293.22,Bachelor,Employed,1,0,0,2.3175,0.0865,0.6,13
41,41061.21,22,8,4454.53,0.1085,362,6,0.7709,3,18384.73,36,5017.2,High School,Employed,1,1,0,9.2158,0.1222,0.7,176
56,39770.76,5,8,7540.68,0.1896,386,18,0.1428,4,16488.87,48,3635.21,High School,Employed,0,1,0,5.2735,0.0914,0.1,40
43,24677.28,4,2,46431.91,1.8816,603,19,0.205,8,1000.0,24,15305.29,Master,Unemployed,0,2,2,0.5315,0.6202,0.05,8
36,44631.94,24,4,22482.34,0.5037,360,10,0.6859,3,19532.74,24,5569.69,High School,Employed,0,1,0,1.9851,0.1248,0.5,96
59,79153.31,17,12,46192.31,0.5836,695,11,0.5602,8,10018.08,12,3209.16,Bachelor,Employed,1,0,0,1.7135,0.0405,0.45,204
65,15000.0,12,2,27479.07,1.8319,633,2,0.2039,8,41903.15,60,9918.67,Bachelor,Employed,0,0,0,0.5459,0.6612,0.9,24
62,34250.93,13,4,31306.03,0.914,710,16,0.9028,0,9306.39,60,7417.0,High School,Employed,0,1,0,1.094,0.2165,0.2,52
59,52457.37,27,12,34080.85,0.6497,583,6,0.2759,4,10648.07,12,9767.41,Bachelor,Employed,1,0,0,1.5392,0.1862,0.7,324
34,37456.3,17,13,1652.92,0.0441,765,9,0.4211,8,6252.24,60,19338.88,Bachelor,Self-Employed,1,0,1,22.647,0.5163,0.55,221
51,44454.28,27,13,24604.26,0.5535,379,14,0.2023,3,27778.77,48,13478.42,Master,Employed,0,2,0,1.8067,0.3032,0.3,351
25,44753.41,26,10,1445.02,0.0323,376,1,0.388,4,11272.24,24,8162.06,High School,Employed,1,1,0,30.9494,0.1824,0.95,260
55,49849.2,31,7,15726.31,0.3155,839,12,0.4916,3,7750.86,12,0.0,Bachelor,Employed,1,0,0,3.1696,0.0,0.4,217
43,40410.91,8,9,29602.54,0.7325,660,3,0.2952,1,22069.55,48,5000.23,Master,Employed,0,2,0,1.3651,0.1237,0.85,72
49,38775.74,31,14,4619.99,0.1191,376,17,0.7691,9,1196.47,12,12266.28,Master,Employed,0,2,0,8.3912,0.3163,0.15,434
63,73686.19,19,14,28390.06,0.3853,808,0,0.3939,1,21251.11,24,973.75,Master,Employed,1,2,0,2.5954,0.0132,1.0,266
31,75993.08,27,8,0.0,0.0,463,1,0.7295,1,32814.0,60,20845.82,PhD,Employed,1,3,0,75993.08,0.2743,0.95,216
38,27389.13,32,12,37149.8,1.3564,308,1,0.2071,0,20666.08,48,8086.5,Master,Employed,0,2,0,0.7372,0.2952,0.95,384
67,15000.0,3,9,10033.44,0.6689,474,3,0.377,2,21378.98,24,8293.09,Bachelor,Employed,0,0,0,1.4949,0.5529,0.85,27
32,76267.5,33,8,4593.24,0.0602,761,2,0.0081,9,23700.6,12,4000.13,Master,Self-Employed,1,2,1,16.6007,0.0524,0.9,264
29,30423.99,2,2,0.0,0.0,606,16,0.7586,0,32097.08,36,10980.43,Bachelor,Employed,1,0,0,30423.99,0.3609,0.2,4
30,59254.9,25,7,11309.69,0.1909,544,13,0.6259,3,27098.94,48,1051.99,High School,Self-Employed,0,1,1,5.2388,0.0178,0.35,175
64,23686.56,7,2,0.0,0.0,421,1,0.8178,0,19396.7,12,20989.36,High School,Employed,0,1,0,23686.56,0.8861,0.95,14
37,80955.1,5,13,11774.01,0.1454,484,15,0.4556,3,24038.91,12,15904.11,High School,Employed,1,1,0,6.8752,0.1965,0.25,65
58,105873.36,15,12,36492.31,0.3447,331,10,0.7997,2,6140.65,24,13905.78,High School,Employed,0,1,0,2.9012,0.1313,0.5,180
27,58656.14,23,11,17169.33,0.2927,609,12,0.6476,8,22762.94,12,0.0,High School,Employed,0,1,0,3.4161,0.0,0.4,253
66,53117.95,29,2,2337.22,0.044,671,0,0.0036,0,4944.44,48,9232.48,High School,Employed,1,1,0,22.7173,0.1738,1.0,58
33,48557.21,12,4,23393.95,0.4818,355,1,0.2537,7,11329.78,48,15254.52,Master,Self-Employed,1,2,1,2.0755,0.3142,0.95,48
60,70635.99,4,1,22068.44,0.3124,572,1,0.4939,8,1000.0,12,11558.63,PhD,Unemployed,0,3,2,3.2006,0.1636,0.95,4
62,66353.74,24,5,49349.15,0.7437,763,4,0.6187,6,19014.3,24,1987.35,Bachelor,Employed,1,0,0,1.3445,0.03,0.8,120
29,75069.97,19,6,31860.82,0.4244,755,3,0.0656,0,8561.28,48,4099.44,Master,Self-Employed,1,2,1,2.3561,0.0546,0.85,114
47,42441.67,17,9,24583.97,0.5792,548,11,0.7051,3,26111.45,36,5288.38,High School,Employed,0,1,0,1.7263,0.1246,0.45,153
22,61802.35,17,10,33576.0,0.5433,377,2,0.5435,9,18901.93,60,4379.37,Master,Unemployed,0,2,2,1.8406,0.0709,0.9,170
25,44150.64,1,8,17984.28,0.4073,833,19,0.5258,0,26240.96,24,17172.67,Bachelor,Employed,0,0,0,2.4548,0.389,0.05,8
49,33845.69,9,2,18868.8,0.5575,407,9,0.292,3,4164.03,24,0.0,High School,Self-Employed,0,1,1,1.7936,0.0,0.55,18
57,54179.69,11,1,44884.1,0.8284,572,19,0.5948,2,25383.86,60,11935.51,High School,Employed,0,1,0,1.2071,0.2203,0.05,11
58,36549.75,12,2,0.0,0.0,314,17,0.0275,1,36058.56,60,246.18,High School,Self-Employed,0,1,1,36549.75,0.0067,0.15,24
39,78474.54,10,7,34519.18,0.4399,669,9,0.0647,0,22641.58,48,2232.49,High School,Employed,1,1,0,2.2733,0.0284,0.55,70
28,37761.59,18,4,18338.13,0.4856,603,0,0.7339,5,22903.49,12,0.0,High School,Employed,0,1,0,2.0591,0.0,1.0,72
68,62270.92,34,10,15627.66,0.251,504,5,0.3219,6,16695.98,12,4705.67,High School,Employed,1,1,0,3.9844,0.0756,0.75,340
65,42931.55,25,5,11706.56,0.2727,412,10,0.347,5,9753.31,36,17064.39,High School,Self-Employed,0,1,1,3.667,0.3975,0.5,125
21,60541.26,13,12,22305.11,0.3684,552,1,0.2084,8,22611.92,12,9588.95,High School,Employed,1,1,0,2.7141,0.1584,0.95,156
42,44520.07,23,7,19347.06,0.4346,740,6,0.4456,8,1000.0,36,809.83,PhD,Employed,0,3,0,2.301,0.0182,0.7,161
37,29855.77,0,3,13779.46,0.4615,485,19,0.052,1,10822.45,36,14102.89,High School,Employed,1,1,0,2.1665,0.4724,0.05,0
27,64675.45,21,10,9460.13,0.1463,526,17,0.3004,1,1000.0,24,15387.83,High School,Self-Employed,1,1,1,6.8359,0.2379,0.15,210
45,50291.69,22,2,0.0,0.0,827,18,0.5271,8,7963.44,24,8624.28,Bachelor,Employed,1,0,0,50291.69,0.1715,0.1,44
65,60719.7,18,13,9142.94,0.1506,653,3,0.4656,0,21420.45,48,20208.49,Master,Employed,1,2,0,6.6404,0.3328,0.85,234
24,46423.14,17,7,12315.57,0.2653,300,12,0.9997,4,20053.93,60,12929.38,Bachelor,Unemployed,0,0,2,3.7692,0.2785,0.4,119
56,28441.27,11,5,22268.47,0.783,719,17,0.3888,0,15509.14,60,12095.92,Master,Employed,0,2,0,1.2771,0.4253,0.15,55
26,76663.57,27,14,49446.29,0.645,460,19,0.387,6,16704.01,36,3179.73,High School,Employed,0,1,0,1.5504,0.0415,0.05,378
51,69735.16,27,1,10760.66,0.1543,460,12,0.5036,8,1000.0,60,11764.39,High School,Employed,1,1,0,6.48,0.1687,0.4,27
39,43660.78,32,1,4644.04,0.1064,427,18,0.1903,5,11274.38,36,9300.75,High School,Self-Employed,1,1,1,9.3994,0.213,0.1,32
64,56395.58,18,9,9282.56,0.1646,450,16,0.8763,1,8186.48,60,11118.97,Bachelor,Employed,0,0,0,6.0748,0.1972,0.2,162
59,75840.39,27,5,22300.17,0.294,743,0,0.5723,5,8409.4,48,3892.49,Bachelor,Employed,1,0,0,3.4007,0.0513,1.0,135
47,45859.23,25,1,28829.53,0.6287,770,5,0.1921,8,20995.79,24,8768.59,Bachelor,Self-Employed,1,0,1,1.5906,0.1912,0.75,25
30,48962.31,34,7,30925.18,0.6316,762,18,0.7934,2,6394.93,24,3098.83,High School,Employed,0,1,0,1.5832,0.0633,0.1,238
46,59872.65,33,9,32415.62,0.5414,329,19,0.0343,8,8953.19,36,0.0,Bachelor,Self-Employed,0,0,1,1.847,0.0,0.05,297
39,45818.18,34,11,34538.46,0.7538,772,0,0.9826,7,1000.0,60,13989.83,High School,Employed,1,1,0,1.3265,0.3053,1.0,374
59,72141.84,15,1,15816.75,0.2192,379,7,0.8651,6,12058.77,12,0.0,Bachelor,Employed,0,0,0,4.5608,0.0,0.65,15
23,51621.98,12,10,50797.1,0.984,338,16,0.5796,7,4121.62,48,8643.12,Bachelor,Employed,0,0,0,1.0162,0.1674,0.2,120
65,39319.28,22,14,14678.47,0.3733,539,14,0.1113,9,15792.03,60,9998.01,Bachelor,Employed,0,0,0,2.6785,0.2543,0.3,308
33,67172.78,21,13,21640.11,0.3222,636,17,0.2153,5,5488.92,12,9959.38,High School,Employed,1,1,0,3.1039,0.1483,0.15,273
48,32157.39,15,4,39437.41,1.2264,579,6,0.2794,2,16045.42,48,6301.53,Master,Employed,0,2,0,0.8154,0.196,0.7,60
40,95297.57,27,14,28496.38,0.299,415,15,0.241,6,13553.14,48,9627.27,Bachelor,Unemployed,1,0,2,3.3441,0.101,0.25,378
48,86649.93,34,3,0.0,0.0,568,6,0.4975,3,31720.42,24,10825.8,High School,Employed,1,1,0,86649.93,0.1249,0.7,102
28,65269.91,7,5,20084.54,0.3077,634,16,0.9446,9,19972.18,36,12409.79,PhD,Self-Employed,0,3,1,3.2496,0.1901,0.2,35
61,63586.62,21,7,32929.47,0.5179,611,3,0.4442,4,1000.0,60,18400.65,Bachelor,Employed,1,0,0,1.9309,0.2894,0.85,147
59,62648.83,20,8,0.0,0.0,352,11,0.6616,7,2351.11,48,9405.16,Bachelor,Employed,0,0,0,62648.83,0.1501,0.45,160
21,45218.1,25,13,31260.39,0.6913,367,12,0.6886,6,15552.08,60,8384.29,High School,Self-Employed,0,1,1,1.4465,0.1854,0.4,325
